window_start,window_end,plant_count,animal_count,fungi_count
2026-04-04 21:30:00,2026-04-04 21:32:00,1701,1908,179
2026-04-04 21:20:00,2026-04-04 21:22:00,1770,2093,185
2026-04-04 21:34:00,2026-04-04 21:36:00,1556,1913,182
2026-04-04 21:14:00,2026-04-04 21:16:00,1764,2038,182
2026-04-04 21:28:00,2026-04-04 21:30:00,1631,1896,204
2026-04-04 21:40:00,2026-04-04 21:42:00,428,484,43
2026-04-04 21:22:00,2026-04-04 21:24:00,1821,2049,185
2026-04-04 21:26:00,2026-04-04 21:28:00,1635,1985,198
2026-04-04 21:24:00,2026-04-04 21:26:00,1693,1895,177
2026-04-04 21:18:00,2026-04-04 21:20:00,1747,2086,185
2026-04-04 21:16:00,2026-04-04 21:18:00,1767,2027,195
2026-04-04 21:12:00,2026-04-04 21:14:00,516,613,62
2026-04-04 21:32:00,2026-04-04 21:34:00,1568,1878,195
2026-04-04 21:38:00,2026-04-04 21:40:00,1485,1690,130
2026-04-04 21:36:00,2026-04-04 21:38:00,1544,1847,162
