window_start,window_end,source,record_count
2026-04-04 21:30:00,2026-04-04 21:32:00,idigbio,4679
2026-04-04 21:22:00,2026-04-04 21:24:00,idigbio,4950
2026-04-04 21:24:00,2026-04-04 21:26:00,idigbio,4683
2026-04-04 21:14:00,2026-04-04 21:16:00,idigbio,4986
2026-04-04 21:40:00,2026-04-04 21:42:00,idigbio,1175
2026-04-04 21:20:00,2026-04-04 21:22:00,idigbio,4968
2026-04-04 21:18:00,2026-04-04 21:20:00,idigbio,4957
2026-04-04 21:34:00,2026-04-04 21:36:00,idigbio,4532
2026-04-04 21:28:00,2026-04-04 21:30:00,idigbio,4669
2026-04-04 21:26:00,2026-04-04 21:28:00,idigbio,4694
2026-04-04 21:38:00,2026-04-04 21:40:00,idigbio,4103
2026-04-04 21:32:00,2026-04-04 21:34:00,idigbio,4514
2026-04-04 21:16:00,2026-04-04 21:18:00,idigbio,4983
2026-04-04 21:12:00,2026-04-04 21:14:00,idigbio,1467
2026-04-04 21:36:00,2026-04-04 21:38:00,idigbio,4377
