window_start,window_end,species
2026-04-04 21:30:00,2026-04-04 21:32:00,4689
2026-04-04 21:20:00,2026-04-04 21:22:00,4777
2026-04-04 21:34:00,2026-04-04 21:36:00,4180
2026-04-04 21:14:00,2026-04-04 21:16:00,4698
2026-04-04 21:28:00,2026-04-04 21:30:00,4554
2026-04-04 21:40:00,2026-04-04 21:42:00,1268
2026-04-04 21:22:00,2026-04-04 21:24:00,5061
2026-04-04 21:26:00,2026-04-04 21:28:00,4273
2026-04-04 21:24:00,2026-04-04 21:26:00,4359
2026-04-04 21:18:00,2026-04-04 21:20:00,4664
2026-04-04 21:16:00,2026-04-04 21:18:00,4643
2026-04-04 21:12:00,2026-04-04 21:14:00,1388
2026-04-04 21:32:00,2026-04-04 21:34:00,4516
2026-04-04 21:38:00,2026-04-04 21:40:00,4024
2026-04-04 21:36:00,2026-04-04 21:38:00,4208
