window_start,window_end,source,plant_records,animal_records,fungi_records,unique_species,total_records
03:56,03:58,gbif,39,238,5,265,299
03:58,04:00,gbif,222,1180,16,991,1498
04:00,04:02,gbif,159,962,16,810,1192
04:02,04:04,gbif,215,1197,16,989,1494
04:04,04:06,gbif,166,959,15,835,1199
04:06,04:08,gbif,208,1195,17,1008,1497
04:08,04:10,gbif,176,1216,19,976,1497
04:10,04:12,gbif,212,1185,24,976,1497
04:12,04:14,gbif,220,1168,28,995,1495
04:14,04:16,gbif,154,968,15,809,1194
04:16,04:18,gbif,215,1185,22,987,1494
04:18,04:20,gbif,87,470,11,466,598
