window_start,window_end,source,plant_records,animal_records,fungi_records,unique_species,total_records
03:56,03:58,idigbio,804,979,91,2250,2338
03:58,04:00,idigbio,3216,3760,333,8437,9096
04:00,04:02,idigbio,3361,3838,364,8641,9372
04:02,04:04,idigbio,3108,3666,353,8076,8764
04:04,04:06,idigbio,3250,3800,330,8338,9059
04:06,04:08,idigbio,3042,3531,337,7839,8453
04:08,04:10,idigbio,3140,3564,347,8093,8761
04:10,04:12,idigbio,2931,3449,326,7596,8205
04:12,04:14,idigbio,2255,2647,281,6018,6441
04:14,04:16,idigbio,1709,1904,176,4445,4674
04:16,04:18,idigbio,1532,1798,196,4157,4376
04:18,04:20,idigbio,618,727,70,1698,1759
