window_start,window_end,source,plant_records,animal_records,fungi_records,unique_species,total_records
03:56,03:58,obis,25,1072,15,864,1500
03:58,04:00,obis,151,5886,58,2985,8400
04:00,04:02,obis,154,5470,49,2862,7800
04:02,04:04,obis,140,5909,62,2990,8400
04:04,04:06,obis,140,5981,39,3000,8400
04:06,04:08,obis,143,5941,48,2970,8400
04:08,04:10,obis,141,5972,62,2974,8400
04:10,04:12,obis,153,5875,70,2999,8400
04:12,04:14,obis,132,5550,46,2866,7800
04:14,04:16,obis,142,5944,48,2944,8400
04:16,04:18,obis,142,5825,62,2980,8248
04:18,04:20,obis,56,2239,19,1555,3152
