window_start,window_end,source,plant_records,animal_records,fungi_records,unique_species,total_records
03:56,03:58,gbif,39,238,5,265,299
03:56,03:58,idigbio,804,979,91,2250,2338
03:56,03:58,obis,25,1072,15,864,1500
03:58,04:00,gbif,222,1180,16,991,1498
03:58,04:00,idigbio,3216,3760,333,8437,9096
03:58,04:00,obis,151,5886,58,2985,8400
04:00,04:02,gbif,159,962,16,810,1192
04:00,04:02,idigbio,3361,3838,364,8641,9372
04:00,04:02,obis,154,5470,49,2862,7800
04:02,04:04,gbif,215,1197,16,989,1494
04:02,04:04,idigbio,3108,3666,353,8076,8764
04:02,04:04,obis,140,5909,62,2990,8400
04:04,04:06,gbif,166,959,15,835,1199
04:04,04:06,idigbio,3250,3800,330,8338,9059
04:04,04:06,obis,140,5981,39,3000,8400
04:06,04:08,gbif,208,1195,17,1008,1497
04:06,04:08,idigbio,3042,3531,337,7839,8453
04:06,04:08,obis,143,5941,48,2970,8400
04:08,04:10,gbif,176,1216,19,976,1497
04:08,04:10,idigbio,3140,3564,347,8093,8761
04:08,04:10,obis,141,5972,62,2974,8400
04:10,04:12,gbif,212,1185,24,976,1497
04:10,04:12,idigbio,2931,3449,326,7596,8205
04:10,04:12,obis,153,5875,70,2999,8400
04:12,04:14,gbif,220,1168,28,995,1495
04:12,04:14,idigbio,2255,2647,281,6018,6441
04:12,04:14,obis,132,5550,46,2866,7800
04:14,04:16,gbif,154,968,15,809,1194
04:14,04:16,idigbio,1709,1904,176,4445,4674
04:14,04:16,obis,142,5944,48,2944,8400
04:16,04:18,gbif,215,1185,22,987,1494
04:16,04:18,idigbio,1532,1798,196,4157,4376
04:16,04:18,obis,142,5825,62,2980,8248
04:18,04:20,gbif,87,470,11,466,598
04:18,04:20,idigbio,618,727,70,1698,1759
04:18,04:20,obis,56,2239,19,1555,3152
