window_start,window_end,source,record_count
2026-04-05 17:58:00,2026-04-05 18:00:00,idigbio,4984
2026-04-05 18:00:00,2026-04-05 18:02:00,idigbio,4425
2026-04-05 18:02:00,2026-04-05 18:04:00,idigbio,4632
2026-04-05 17:56:00,2026-04-05 17:58:00,gbif,2991
2026-04-05 17:54:00,2026-04-05 17:56:00,idigbio,4950
2026-04-05 17:52:00,2026-04-05 17:54:00,idigbio,4966
2026-04-05 18:04:00,2026-04-05 18:06:00,gbif,599
2026-04-05 17:50:00,2026-04-05 17:52:00,idigbio,4965
2026-04-05 17:52:00,2026-04-05 17:54:00,gbif,2696
2026-04-05 17:54:00,2026-04-05 17:56:00,gbif,2693
2026-04-05 17:48:00,2026-04-05 17:50:00,idigbio,4981
2026-04-05 17:46:00,2026-04-05 17:48:00,idigbio,4989
2026-04-05 17:48:00,2026-04-05 17:50:00,gbif,2988
2026-04-05 17:46:00,2026-04-05 17:48:00,gbif,2094
2026-04-05 18:04:00,2026-04-05 18:06:00,idigbio,1163
2026-04-05 17:56:00,2026-04-05 17:58:00,idigbio,4682
2026-04-05 17:44:00,2026-04-05 17:46:00,idigbio,877
2026-04-05 17:58:00,2026-04-05 18:00:00,gbif,2389
2026-04-05 17:50:00,2026-04-05 17:52:00,gbif,2693
2026-04-05 17:44:00,2026-04-05 17:46:00,gbif,300
2026-04-05 18:02:00,2026-04-05 18:04:00,gbif,1197
2026-04-05 18:00:00,2026-04-05 18:02:00,gbif,1796
2026-04-05 17:58:00,2026-04-05 18:00:00,obis,720
2026-04-05 17:46:00,2026-04-05 17:48:00,obis,760
2026-04-05 17:54:00,2026-04-05 17:56:00,obis,720
2026-04-05 18:00:00,2026-04-05 18:02:00,obis,720
2026-04-05 17:56:00,2026-04-05 17:58:00,obis,720
2026-04-05 17:52:00,2026-04-05 17:54:00,obis,720
2026-04-05 18:02:00,2026-04-05 18:04:00,obis,800
2026-04-05 17:48:00,2026-04-05 17:50:00,obis,720
2026-04-05 17:50:00,2026-04-05 17:52:00,obis,760
2026-04-05 17:44:00,2026-04-05 17:46:00,obis,100
2026-04-05 18:04:00,2026-04-05 18:06:00,obis,120
