window_start,window_end,source,plant_count,animal_count,fungi_count,species_count
2026-04-05 17:44:00,2026-04-05 17:46:00,gbif,61,217,8,267
2026-04-05 17:44:00,2026-04-05 17:46:00,idigbio,297,362,40,852
2026-04-05 17:44:00,2026-04-05 17:46:00,obis,0,75,0,0
2026-04-05 17:46:00,2026-04-05 17:48:00,gbif,331,1626,27,1259
2026-04-05 17:46:00,2026-04-05 17:48:00,idigbio,1758,2065,180,4650
2026-04-05 17:46:00,2026-04-05 17:48:00,obis,0,570,0,0
2026-04-05 17:48:00,2026-04-05 17:50:00,gbif,446,2377,32,1563
2026-04-05 17:48:00,2026-04-05 17:50:00,idigbio,1794,1994,198,4679
2026-04-05 17:48:00,2026-04-05 17:50:00,obis,0,540,0,0
2026-04-05 17:50:00,2026-04-05 17:52:00,gbif,420,2099,37,1508
2026-04-05 17:50:00,2026-04-05 17:52:00,idigbio,1729,2114,179,4463
2026-04-05 17:50:00,2026-04-05 17:52:00,obis,0,570,0,0
2026-04-05 17:52:00,2026-04-05 17:54:00,gbif,382,2140,38,1521
2026-04-05 17:52:00,2026-04-05 17:54:00,idigbio,1794,2076,182,4913
2026-04-05 17:52:00,2026-04-05 17:54:00,obis,0,540,0,0
2026-04-05 17:54:00,2026-04-05 17:56:00,gbif,392,2126,43,1507
2026-04-05 17:54:00,2026-04-05 17:56:00,idigbio,1788,2052,189,4886
2026-04-05 17:54:00,2026-04-05 17:56:00,obis,0,540,0,0
2026-04-05 17:56:00,2026-04-05 17:58:00,gbif,432,2373,39,1629
2026-04-05 17:56:00,2026-04-05 17:58:00,idigbio,1677,1921,187,4661
2026-04-05 17:56:00,2026-04-05 17:58:00,obis,0,540,0,0
2026-04-05 17:58:00,2026-04-05 18:00:00,gbif,378,1845,42,1431
2026-04-05 17:58:00,2026-04-05 18:00:00,idigbio,1763,2094,204,4627
2026-04-05 17:58:00,2026-04-05 18:00:00,obis,0,540,0,0
2026-04-05 18:00:00,2026-04-05 18:02:00,gbif,311,1366,24,1098
2026-04-05 18:00:00,2026-04-05 18:02:00,idigbio,1564,1768,198,4351
2026-04-05 18:00:00,2026-04-05 18:02:00,obis,0,540,0,0
2026-04-05 18:02:00,2026-04-05 18:04:00,gbif,198,922,20,868
2026-04-05 18:02:00,2026-04-05 18:04:00,idigbio,1676,1916,167,4605
2026-04-05 18:02:00,2026-04-05 18:04:00,obis,0,600,0,0
2026-04-05 18:04:00,2026-04-05 18:06:00,gbif,285,1117,16,1065
2026-04-05 18:04:00,2026-04-05 18:06:00,idigbio,1630,1918,207,4584
2026-04-05 18:04:00,2026-04-05 18:06:00,obis,0,480,0,0
2026-04-05 18:06:00,2026-04-05 18:08:00,gbif,301,1387,31,1161
2026-04-05 18:06:00,2026-04-05 18:08:00,idigbio,1500,1845,173,4058
2026-04-05 18:06:00,2026-04-05 18:08:00,obis,0,540,0,0
2026-04-05 18:08:00,2026-04-05 18:10:00,gbif,219,899,17,836
2026-04-05 18:08:00,2026-04-05 18:10:00,idigbio,1533,1859,166,4049
2026-04-05 18:08:00,2026-04-05 18:10:00,obis,0,540,0,0
2026-04-05 18:10:00,2026-04-05 18:12:00,gbif,209,916,18,831
2026-04-05 18:10:00,2026-04-05 18:12:00,idigbio,1595,1809,144,4275
2026-04-05 18:10:00,2026-04-05 18:12:00,obis,0,540,0,0
2026-04-05 18:12:00,2026-04-05 18:14:00,gbif,227,912,12,774
2026-04-05 18:12:00,2026-04-05 18:14:00,idigbio,1444,1700,152,3858
2026-04-05 18:12:00,2026-04-05 18:14:00,obis,0,570,0,0
2026-04-05 18:14:00,2026-04-05 18:16:00,gbif,213,892,19,806
2026-04-05 18:14:00,2026-04-05 18:16:00,idigbio,1554,1822,164,4006
2026-04-05 18:14:00,2026-04-05 18:16:00,obis,0,540,0,0
2026-04-05 18:16:00,2026-04-05 18:18:00,idigbio,93,133,11,282
2026-04-05 18:16:00,2026-04-05 18:18:00,obis,0,60,0,0
